suburb,address,property_type,bedrooms,bathrooms,parking,land_size,sold_price,sold_date,listing_url
Werribee,"21 Melrose Place, Werribee",House,4,2,2.0,600.0,840000,19 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148665388
Werribee,"8 Ballan Road, Werribee",House,2,1,1.0,207.0,475000,19 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148654532
Werribee,"2/8 Georgia Crescent, Werribee",House,3,2,2.0,,600000,18 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148292492
Werribee,"1/8 Margaret Street, Werribee",House,3,1,2.0,336.0,540000,18 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148646708
Werribee,"5 Poinciana Court, Werribee",House,3,1,4.0,549.0,540000,18 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148499096
Werribee,"61 Silvereye Crescent, Werribee",House,3,2,4.0,836.0,760000,15 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148641456
Werribee,"1 Culgoa Court, Werribee",House,4,2,4.0,595.0,708000,15 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148472664
Werribee,"44 Kailash Road, Werribee",House,4,2,2.0,392.0,801000,14 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148330880
Werribee,"19 Driver Street, Werribee",House,4,2,2.0,399.0,672000,14 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148698784
Werribee,"104 Tulsi Avenue, Werribee",House,3,2,1.0,,610000,14 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148723376
Werribee,"30 Everwin Drive, Werribee",House,3,1,2.0,300.0,520000,14 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148628136
Werribee,"5 Riversdale Drive, Werribee",House,4,2,2.0,,785000,13 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148656888
Werribee,"7 Retreat Place, Werribee",House,3,1,2.0,540.0,530000,13 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148608044
Werribee,"6 Jellicoe Street, Werribee",House,3,1,2.0,618.0,720000,12 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148566120
Werribee,"251 Shaws Road, Werribee",House,3,1,2.0,,700000,12 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148235332
Werribee,"5 Horton Drive, Werribee",House,4,2,2.0,395.0,628000,12 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148619156
Werribee,"10 Artfield Drive, Werribee",House,4,2,2.0,274.0,620000,12 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148428588
Werribee,"81 Market Road, Werribee",House,3,1,4.0,695.0,620000,12 Aug 2025,https://www.realestate.com.au/sold/property-house-vic-werribee-148685100
